name,status,active,department,institution,city,region,country,first_year,last_year,lat,lon,link,tags,papers,affiliation
Necat Havlioglu,past,0,Department of Pathology,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;imaging;washu,1,"Department of Pathology, John Cochran VA Medical Center, St. Louis, MO, United States."
Rachael N Pilachowski,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2017,2017,39.6837,-75.7530,,collaborator;udel,1,"Department of Biomedical Engineering, University of Delaware, 161 Colburn Lab, Newark, Delaware, 19716."
Randall L Duncan,past,0,Department of Biological Sciences,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Biological Sciences, University of Delaware, Newark, DE, 19716, USA."
Rebecca A Scott,past,0,,Delaware Biotechnology Institute,Newark,DE,USA,2017,2017,39.6837,-75.7530,,collaborator;udel-dbi,1,"Delaware Biotechnology Institute , Newark, Delaware 19711, United States."
Robert A Mooney,past,0,Department of Pathology and Laboratory Medicine,University of Rochester,Rochester,NY,USA,2014,2014,43.1293,-77.6290,,collaborator;imaging;urochester,1,"Department of Pathology and Laboratory Medicine, University of Rochester Medical Center, Rochester, New York, United States of America; Center for Musculoskeletal Research, University of Rochester Medical Center, Rochester, New York, United States of America."
Ryan C Locke,past,0,Department of Biomedical Engineering,University of Delaware,Newark,DE,USA,2017,2017,39.6837,-75.7530,,collaborator;udel,1,"Department of Biomedical Engineering, University of Delaware, 161 Colburn Lab, Newark, Delaware, 19716."
Ryan M Castile,past,0,Department of Mechanical Engineering and Materials Science,Washington University in St. Louis,St. Louis,MO,USA,2022,2022,38.6488,-90.3108,,collaborator;washu,1,"Department of Mechanical Engineering and Materials Science, Washington University in St. Louis, St. Louis, MO, United States."
Sara Buckley,current,1,Colorado Program for Musculoskeletal Research,University of Colorado Anschutz Medical Campus,Aurora,CO,USA,2025,2025,39.7460,-104.8365,,collaborator;cu-anschutz;orthopedics,1,"Colorado Program for Musculoskeletal Research, Department of Orthopedics, Anschutz Medical Campus, University of Colorado, Aurora, Colorado, USA."
Tianzhi Luo,past,0,,Unknown (needs review),,,USA,2017,2017,,,,collaborator;needs-review,1,
X Lucas Lu,past,0,Department of Mechanical Engineering,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Mechanical Engineering, University of Delaware, 130 Academy Street SPL126, Newark, DE, 19716, USA. xlu@udel.edu."
Xingyu Chen,past,0,Department of Mechanical Engineering,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Mechanical Engineering, University of Delaware, 130 Academy Street SPL126, Newark, DE, 19716, USA."
Yilu Zhou,past,0,Department of Mechanical Engineering,University of Delaware,Newark,DE,USA,2016,2016,39.6837,-75.7530,,collaborator;udel,1,"Department of Mechanical Engineering, University of Delaware, 130 Academy Street SPL126, Newark, DE, 19716, USA."
